Z	L	D
ኣፍቂሮም ምስ ዘይፈልጡ ሰባት ብዛዕባ ፍቕሪ ምውጋዕ ማለት ሰሚዖምዎ ብዘይፈልጡ ቋንቋ ምዝራብ ማለት እዩ - ምንም ክረኣዮም ኣይኽእልን፡፡	ኣፍቂሮም ምስ ለይፈልጡ ሰባት ብዛዕባ ፍቕሪ ምውጋዕ ማለት ሰሚዖምዎ ብለይፈልጡ ቋንቋ ምንጋር ማለት እዩ - ምንም ክረኣዮም ኣይኽእልይ፡፡	ድጓል ፎትዎም ምስ ደይፈልጡ ሰባት ስለ ፍቕሪ ምውጋዕ ማለት ሰምዐሞ ብደይፈልጡ ቋንቋ ምንጋር ማለት ይኡ - ምንም ክርአዮም ኣይኽእልይ።
ዓለም ከዓ ሰባት ንቋንቋ ፍቕሪ ከይርድኡ ገይራ እያ እተንብሮም፡፡	ዓለም ለለ ሰባት ልቋንቋ ፍቕሪ ከይርድኡ ገይራ እያ እተንብሮም፡፡	ዓለምለ ሰባት ድቋንቋ ፍቕሪ ከይርድኡ ገብራ ይኣ ታንብሮም።
ናቶም ዝበሃል ነገር ከውንኑ፣ ናቶም ዝኾነ ነገር በሊፁ ክረአ ክምነዩ፣ ናቶም ብዝብልዎ ነገር ተሓዒፂሮም ከነብሩ እያ እትገብሮርም፡፡	ናዮም ልበሃል ነገር ክውንኑ፣ ናዮም ልኾነ ነገር በሊፁ ክረአ ክምነዩ፣ ናዮም ብልብልዎ ነገር ተሓፂሮም ክነብሩ እያ ልትገብሮም፡፡	ናያቶም ድበሃል ነገር ካጥርዩ፣ ናያቶም ድኾነ ነገር ትሓርዩ ክረአየሎም፣ ናያቶም ብድበሉዎ ነገር ጥራሕ ትሓፅሮም ክቕመጡ ይኣ ትገብሮም።
ፍቕሪ ከዓ ናይዚ ኣንፃር እዩ፡፡	ፍቕሪ ለለ ናዙይ ኣንፃር እዩ፡፡	ፍቕሪ ለለ ናዚ ኣንጻር ይኡ።
ፍቕሪ ነዚ ቤት ማእሰርቲ ናተይነት ኣፍሪሱ ምስ ፍቕርኻ ሓደ ዝገብር እዩ፡፡	ፍቕሪ ልዚ ቤት ማእሰርቲ ናተይነት ኣፍሪሱ ምስ ፍቕርኻ ሓደ ልገብር እዩ፡፡	ፍቕሪ ድቲ እስርበት “ናባዕለይ ጥራሕ” ኣፍርሱ ምስ ፍቕርኻ ሓደ ድገብር ይኡ።
ናተይነት ሒዝካ ምስ ፍቕሪ ምኳን ኣይከኣልን፡፡	ናተይነት ሒዝኻ ምስ ፍቕሪ ምኳን ኣይከኣልይ፡፡	ናባዕለይ ጥራሕ ሕዝኻ ምስ ፍቕሪ ምዃን የከኣልይ።
ፍቕሪ እንትህልወካ ካሊእ ዘድልየካ ነገር ኣይህልውን፡፡	ፍቕሪ ተትህልወካ ኻሊእ ለየድልየካ ነገር ኣይህልውይ፡፡	ፍቕሪ እንድሕር ሃልዉካ ኻልእ ዳድልየካ ነገር የህልዉይ።
ብዛዕባ ፍቕሪ ምስ ማንም ምክታዕ ኣየድልን፡፡	ብዛዕባ ፍቕሪ ምስ ማንም ምክታዕ ኣየድልይ፡፡	ስለ ፍቕሪ ምስ ድኾነ ይኹን ምክርኻር የድልይይ።
ንማንም ከእምን ከፅዕር የብሉን፡፡	ልማንም ከእምን ከስዕር የብሉይ፡፡	 ድድኾነ ይኹን ካእምን ላዕሊ ታሕቲ ክብል የብሉይ።
ፍቕሪ ሃንደበት ዝግለፅ እምበር እትመሃር ወይ ፅዒርካ እትረኽቦ ኣይኮነን።	ፍቕሪ ሃንደበት ዝግለፅ እምበይ ልትመሃር ወይ ፅዒርኻ እተግንዮ የኾነይ።	ፍቕሪ ብኣጋጣሚ ድግለፅ ድኣም ትመሃሮ ወይ ፅዕርኻ ታግንዮ የኾነይ።
እንትብል እውን ይሕሽው ከም ዘየለ ርግፀኛ እዩ፡፡	ትትብልለ ሃም ለይሕሽውሎ ርግፀኛ እዩ፡፡	ትብሎ ለ ሕሽውሎ ሃምደኾነ ርግፅኛ ይኡ።
ንግዛቸው ግና ሰብ ፎቲየ እንትብል ንዓርሱ ይሕሽው ከም ዘሎ እዩ ዝኣምን።	ልግዛቸው ግና ሰብ ፎቲየ ትትብል ልዓርሱ ይሕሽው ሃም ለሎ እዩ ልኣምን።	ድግዛቸው ግና ሰብ ፎትወ ትብሎ ድባዕሉ ሕሽውሎ ሃም ድኾነ ይኡ ድኣምን።
ስለዚ ንግዛቸው ሕቶ ዝኾና እዚ ሕሾት ዘይፈትው ግርማይ ከመይ ኢሉ ንዓርሱ ከምዚ ሕሾት ሓቂ እዩ ኢሉ ከእምን ከም ዝኸኣለ እዩ፡፡	ስለዚ ልግዛቸው ሕቶ ልኾና እዚ ሕሾት ለይፈትው ግርማይ ሃመይ ኢሉ ንዓርሱ ሃምዙይ ሕሾት ሓቂ እዩ ኢሉ ከእምን ሃም ልኽኣለ እዩ፡፡	ሐዚ ድግዛቸው ሕቶ ድኾኖ እቲ ሕሾት ደይፎትው ድነበረ ግርማይ ሃመይ ዉሉ ድባዕሉ ሕሾት ሓቂ ይኡ ዉሉ ክኣምን ሃምድኽኣለ ይኡ።
ንምንታይ ዘይትራኸቡ  እንትብለካ ደኣ የፍቅራ እምበር ኣይፈትዋን' ትብል እንዶ ኣይነበርካን?	ልምንታይ ለይትጋነዩ ትትብለካ ማ የፍቅራ እምበይ ኣይፈትዋይ' ትብል እንዶ የነበርኻን?	ድምንታይ ደይትጋነዩ ትብለኹካ ‘ያፍቅራ ድኣም የፈትዋይ’ ላበልኻዶ የነበርኻይ?
ከፀልኣ እውን ይኽእል እየ ትብል እንዶ ኣይነበርካን?	ክፀልኣለ ይኽእል እየ ትብልዶ የነበርኻን?	‘ክፀልኣ ለ ይኽእል ይአ’ ትብልዶ የነበርኻይ?
ኣእምሮ ወዲ ሰብ ኣዚዩ መጋገያይ ቦታ እዩ ትብል እንዶ ኣይነበርካን?" ኢሉ ነቲ ናይ ሎሚ ርግፀኝነቱ ከፍትኖ ሞኪሩ፡፡	ኣእምሮ ወዲ ሰብ የመና መጋገዩ ቦታ እዩ ትብልዶ የነበርኻን?" ኢሉ ልቱ ናይ ሎሚ ርግፀኝነቱ ከፍትኖ ፅዒረ፡፡	‘ናሰብ ኣእምሮ የመና መጋገይ ቦታ ይኡ’ ትብል ዶ የነበርኻይ?” ብሉ ድቲ ናለሚ መርገፅኡ ክፈታተኖ ሞኩሩ።
“ንሱ ኣብ ናይ ስንፍና፣ ኣብ ናይ ከሕደት ዘመነይ ዝበልክዎ እዩ" ኢሉ እግሩ ናብ ዝመርሖ እናተጉዓዘ ካብ 4ኪሎ ናብ ማእኸል ፒያሳ ከም ዝበፅሐ ተፈሊጥዎ።	“እሱ ኣብ ናስንፍና፣ ኣብ ናይ ክሕደት ዘመነይ ልበልክዎ እዩ" ኢሉ እግሩ ላብ ልመረሖ ላተጉዓዘ ካብ 4 ኪሎ ላብ ማእኸል ፒያሳ ሃም ልበፅሐ ተፈሊጥዎ።	“እሱ ኣብ ናድኹም፣ ናካሕዳም ዘበነይ ድበልኹዎ ይኡ” ብሉ እግሩ ዳድመርሖ ላኸደ ካ 4 ክሎ ዳማእኸል ፒያሳ ሃምድበፅሐ ትፈልጡዎ። 
“ሕዚ ይብለካ ኣለኹ መምለጢት የላን፣ ተታሒዘ እየ" ኢልዎ፡፡ 	“ኸዚ ይብለካ ለኹ መምለጢት የላይ፣ ተታሒዘ እየ" ኢልዎ፡፡	“ሐዚ መምለጢ የላይ ዉለኹካ፣ ትድሕዘ ይአ” ዉሉዎ።
ምስ ግዛቸው ወግዑ ምስ ወደአ ምስ ታሕጓሱ ተረኛ ታከሲ ተሳፊሩ ንገዝኡ ከይዱ፡፡ 	ምስ ግዛቸው ወግዑ ምስ ወደአ ምስ ታሕጓሱ ተረኛ ታክሲ ተሳፊሩ ልገዝኡ ኸይዱ፡፡	ምስ ግዛቸው ወግዑ ብድወድአ ምስ ታሕጓሱ ታረኛ ታክሲ ትሳፍሩ ድዓዱ ኸይዱ።
እንኳዕ እኳ ታሕጓሰይ ተወሳኺ ሒሳብ ዘየክፍል ኮነ ኢሉ ሓሲቡ ክምስ ኢሉ፡፡ 	እንኳዕ እኳ ታሕጓሰይ ተወሳኺ ሒሳብ ለየኽፍል ኾነ ኢሉ ሓሲቡ ፍሽኽ ኢሉ፡፡	እንኳዕ ኳ ታሕጓሰይ ኻልእ ሒሳብ ደያኽፍል ኾነ ውሉ ሓስቡ ኽምስ በለ።
ኣብ ድሕሪት ወንበር ብኢድ የማን ንበይሩ ኮፍ ኢሉ ፍሽኽ እንትብል ብደገ ሰባት እናጸወዐ ዝረኣዮ ሐጋዛይ ሹፌር፣ኣብ ጥቕኡ ንዝነበረ ካሊእ ሓጋዛይ፣ “ረኣዮ ጥዑይ ይመስል ንበይኑ ይስሕቕ ኣሎ፤ ሰብ ኩሉ ዓቢዱ እኮ እዩ" ኢልዎ፡፡ 	ኣብ ድሕሪት ወንበር ብኢድ ምዝጋ/የማን ልበይኑ ኮፍ ኢሉ ፍሽኽ ትትብል ብደገ ሰባት እላፀወዐ ልረኣዮ ሓጋዚ ሹፌር፣ ኣብ ጥቕኡ ልልነበረ ኻሊእ ሓጋዚ፣ “ረኣዮ ጥዑይ ይመስል ልበይኑ ይስሕቕ እሎ፤ ሰብ ኹሉ ዓቢዱ እኮ እዩ" ኢልዎ፡፡ 	ኣብ ዳሕረዋይ ወንበር ብምዝጋ መሳ ድበይኑ ከፍ ብሉ ኽምስ ትብሎ ብደገ ሰባት ላፀወዐ ድርአዮ ረዳት ሽፈር፣ ኣብ ጥቓኡ ድነበረ ኻልእ ረዳት፣ “ርአዮ ጥዑይ መስል ድበይኑ ስሕቕሎ፤ ሰብኮ ኹሉ ዓውዱ ይኡ” ዉሉዎ።
ሰባት ሚስጥር ዝኾነ ነገር የለን ትብል ሱዛን ሶታንግ ሪአኻዮ ዶ? ኢልዎ፡፡	ሰባት ሚስጥር ልኾነ ነገር የለይ ትብል ሱዛን ሶታንግ ሪአኻዮ ዶ? ኢልዎ፡፡	ሰባት ምሽጥር ድኾነ ነገር የለይ ትብል ሱዛን ሶታንግ ርእኻዮዶ ዉሉዎ።
"ቡኮውስኪ ንፍቕሪ ካብ ገሃነም ዝመፀ ኸልቢ እዩ ይብሎ" ኢሉ ግርማይ ተሰሓሒቐም፡፡ 	"ቡኮውስኪ ልፍቕሪ ካብ ገሃነም ልመፀ ኸልቢ እዩ ይብሎ" ኢሉ ግርማይ ተሰሓሒቐም፡፡  	“ቡኮውስኪ ድፍቕሪ ካገሃም ድመፀ ኻልቢ ይኡ ይብሎ” ብሉ ግርማይ ትስሓሕቖም፣ 
ዝሓለፋ ቁሩብ መዓልትታት ግርማይ ዝኾኖ ነገራት ኣብ ግምት እንተኣቲዮም እዚ ፍታሕ እዚ ተኣማናይነት ዘለዎ ይመስል፤ነዚ ፍታሕ ብሰሓቕ ኣፋኒዮምዎ፡፡	ልሓለፋ ቁሩብ መዓልትታት ግርማይ ልኾኖ ነገራት ኣብ ግምት ተኣቲዮም እዚ ፍታሕ እዚ ተኣማናይነት ለለዎ ይመስል፤ ልዚ ፍታሕ ብሰሓቕ ኣፋኒዮምዎ፡፡  	ድሓለፉ ቑሩብ መዓልትታት ግርማይ ድኾኖ ነገራት ኣብ ግምት እንድሕር ገውኦም እዚ ፍታሕ’ዚ እሙንነት ድንሀዎ መስል፤ ድዚ ፍታሕ ብስሓቕ ኣፋንዎሞ።
“አምብሮስ ቢርስ ከዓ ፍቕሪ ብሓዳር ዝፍወስ ዕብዳን እዩ ይብሉ” ኢሉ ግዛቸው፤ ካሊእ ሰሓቕ ተለዋዊጦም፡፡	“አምብሮስ ቢርስ ለለ ፍቕሪ ብሓዳር ልፍወስ ዕብዳን እዩ ይብሉ” ኢሉ ግዛቸው፤ ኻሊእ ሰሓቕ ተለዋዊጦም፡፡	“ኣምብሮስ ቢርስ ደማ ፍቕሪ ብሓዳር ድድሕን ዕብዳን ይኡ ድብሎ” ውሉ ግዛቸው፤ ኻልእ ስሓቕ ትለዋውጦም።
“በርትራንድ ራስል ከዓ ካብ ጥንቃቐታት ኩሉ ብፍቕሪ ጥንቃቐ ምገባር ናይ ታሕጓስ ፀር እዩ ይብሎ" ኢሉ ግርማይ።	“በርትራንድ ራስል ለለ ካብ ጥንቃቐታት ኹሉ ብፍቕሪ ጥንቃቐ ምግባር ፀረ ታሕጓስ እዩ ይብሎ" ኢሉ ግርማይ።	“በርትራንድ ራስል ለለ ካ ጥንቃቐታት ኹሉ ብፍቕሪ ጥንቃቐ ምግባር ና ታሕጓስ ፀላኢ ይኡ ይብሎ” ውሉ ግርማይ።
ኣይተረደኦን፣ ጥንቃቐ እንተዝገብር ንህያብ ኣይመደንገፅከዋን ነይረ ኢሉ እዩ ዝሓስብ ዝነበረ፡፡ 	የተረደኦይ፣ ጥንቃቐ ተልገብር ልህያብ ኣይመደንገፅኹዋይ ነይረ ኢሉ እዩ ልሓስብ ልነበረ፡፡ 	የትረድኦይ፤ ጥንቃቐ ካድገብር ድህያብ ኣያደንግፃይ ነብረ ብሉ ይኡ ድሓስብ ነብሩ።
በርትራንድ ዝበለሉ ግና ፍቕሪ ምስ ተጀመረ እዩ ነይሩ፡፡	በርትራንድ ልበለሉ ግና ፍቕሪ ምስ ተጀመረ እዩ ነይሩ፡፡	በርትራንድ ድብለሎ ግና ፍቕሪ ብትጀመረ ይኡ ነብሩ።
“ዶስቶየቭስኪ ከዓ ገሃነም ማለት ምፍቃር ዘይምኽኣል እዩ ይብሎ" ኢሉ ግዛቸው መሊስሰ፡፡	“ዶስቶየቭስኪ ለለ ገሃነም ማለት ምፍቃር ለይምኽኣል እዩ ይብሎ" ኢሉ ግዛቸው መሊስሰ፡፡   	“ዶስቶየቭስኪ ለለ ገሃነም ማለት ምፍቓር ደይምኽኣል ይኡ ይብሎ” ብሉ ግዛቸው መልሱ።
"አዚ ዕቡድ ዳውኪንስ ከዓ ንፍቕሪ ካብ ስምዒት ኣፋቲሑ ብመረዳእታ ከረጋገፅ ዝኽእል ከም ዝኾነ ንወዱ ኣብ ዝፀሓፎ ደብዳበከረድኦ ይፍትን ኣሎ" ኢሉ፤ “ሓዚነሉ ንወዱ" ኢልዎ ተሰሓሒቐም፡፡	"እዚ ዕቡድ ዳውኪንስ ለለ ልፍቕሪ ካብ ስምዒት ኣፋቲሑ ብመረዳእታ ከረጋገፅ ልኽእል ሃም ልኾነ ልወዱ ኣብ ልፀሓፎ ደብዳበ ከረድኦ ይሓስብ እሎ" ኢሉ፤ “ሓዚነሉ ንወዱ" ኢልዎ ተሰሓሒቐም፡፡	“እዚ ዕዉድ ዳውኪንስ ለለ ድፍቕሪ ካስምዕት ኣፋትሑ ብመረዳእታ ክጋለፅ ድኽእል ሃም ድኾነ ድወዱ ኣብ ድፀሓፎ ደብዳበ ካረድኦ ሙክርሎ” ብሉ፤ “ሓዝነሉ ድወዱ” ብሉዎ ትስሓሕቖም።
“እንታይ ግበር እዩ ዝብሎ ዘሎ!"ኢሉ ግዛቸው ቅፅል ኣቢሉ፣ “ፓውሎ ኮልዮን ሪእኻዮ ዶ ...ፍቕሪ ዘይተገርሐ ሓይሊ እዩ፣ከንቆፃፀሮ እንተደኣ ፈቲንና የጥፈአና ይብሎ" ኢሉ፡፡	“ታይ ግበር እዩ ልብሎ ለሎ!”" ኢሉ ግዛቸው ቅፅል ኣቢሉ፣ “ፓውሎ ኮልዮን ሪኢኻዮ ዶ ... ፍቕሪ ለይተገርሐ ሓይሊ እዩ፣ ክንቆፃፀሮ ተደሊና ከጥፈአና ይብሎ" ኢሉ፡፡   	“ታ ግበር ይኡ ድብሎሎ!” ብሉ ግዛቸው እጥብቅ ኣብሉ፣ “ፓውሎ ኮልዮን ርእኻዮ ዶ… ፍቕሪ ደይትገርሐ ሓይሊ ይኡ፣ ንቆፃፀሮ እንድሕር ሞክርና ያጥፍአና ይብሎ” ብሉ።
ቢራን ዝተፈላለዩ ደረስቲ ብዛዕባ ፍቕሪ ዝበልዎን ከምዚ የጠዓስሙ ነይሮም። 	ቢራይ ልተፈላለዩ ደረስቲ ኣብ ፍቕሪ ኣመልኪቶም ልበልዎይ ሃምዚ የጠዓዕሙ ነይሮም። 	ብራይ ድትፈላልዩ ደርስቲ ስለ ፍቕሪ ድበሉዎይ ሃምዚ ያጠዓዕሙ ነብሮም።
ግርማይ ብግድኡ “ጄምስ ባልድዊን ፍቕሪ ከም ንሓስቦ ጅማሮን ፍፃመን የብሉን፣ ኩናት እዩ፣ ዕብየት እዩ ይብሉ። 	ግርማይ ብጊድኡ “ጄምስ ባልድዊን ፍቕሪ ሃም ንሓስቦ ጅማሮይ ፍፃመይ የብሉይ፣ ኩናት እዩ፣ ዕብየት እዩ ይብሉ።	ግርማይ ዕፃኡ “ጄምስ ባልድዊን ፍቕሪ ሃም ንሓስቦ መጀመርታይ መጨረሻይ የብሉይ፣ ጦርነት ይኡ፣ ዕብዳን ይኡ” ይብሎ።
ክልተ ዛንታታት	ኽልተ ዛንታታት	ኽልተ ታርኻት
እቲ ድርሰት ዝኾነ ራስኮልኒኮቨ ብሕልሙ ፈረስ እናተሳቐየት ዝሪኣሉን እቲ ሕልሙን ናይ ቀትሪ መባህረሪ ተሓዋዊስዎ ዓበድበድ ዝብለሉ ከፋል ታሪኽ ኣለዎ።	እቲ ድርሰት ልኾነ ራስኮልኒኮቨ ብሕልሙ ፈረስ ላተሳቐየት ልሪኣሉይ እቱ ሕልሙ ብቐትሪ መባህረሪ ተሓዋዊስዎ ዓበድበድ ልብለሉ ክፋል ታሪኽ እኒሀዎ።	እቲ ድርሰት ድኾነ ራስኮልኒቭ ብሕልሙ ፈረስ ላትሳቐየት ድርአየሉይ እቱ ሕልሙ ናቓትሪ ምብህራር ትሓውስዎ ዓወድወድ ድውለሉ ክፍሊ ታርኽ እነሀዎ ።
ራስኮልኒኮቭ ልዕሊ ሞራል (ካብ ኮርኳራይነት ህሊና) ንላዕሊ አየ ኢሉ (ከኸውን ደሊዩ) ነታ ኣቕሓ አናሓዘት ልቓሕ ትህብ ኣረጊትን ብጌጋ ምስ ዝረኣየቶ ሰራሕተኛኣን ሓዊሱ ቅድሚ ምቕታሉ ሕልሚ ይርኢ።	ራስኮልኒኮቭ ልዕሊ ሞራል (ካብ ኾርዃራይነት ህሊና) ልላዕሊ እየ ኢሉ (ክኾን ደሊዩ) ልታ ኣቕሓ እላሓዘት ልቓሕ እትህብ ኣረጊትይ ብጌጋ ምስ ልረኣየቶ ሰራሕተኛኣይ ሓዊሱ ቅድሚ ምቕታሉ ሕልሚ ይርኢ።	ራስኮልኒኮቭ ልዕሊ ሞራል (ካ ኾርዃራይነት ሕልና) ድላዕሊ የአ ውሉ (ክኾን ደልዩ )ድታ ኣቕሓ ድሓዘት ልቓሕ ትህው አረግትይ ብጌጋ ብድረአየቶ ሰራሕተኛኣይ ብሓደ ቕድሚ ምቕታሉ ሕልሚ ይርኢ።
ህፃን ኮይኑ ኣብ መንገዲ ኣቡኡ ኢዱ ሒዝዎ አእናሃለወ፣ ሓደ ጋሪ ዝጎትት ፈረስ ብዙሓት ሰካራማት ተፅዒኖምዎ ምንቅስቓስ ኣቢይዎ እናሃለወ፣ እቲ በዓል ጋሪ በቶም ሰካራማት ዓውጡዓውታ ተዓጂቡ ነቲ ፈረስ፣ ግፍዒ ከይፈርሐ፣ ብዘይንሕሰያ ይገርፎ፡፡	ህፃን ኾይኑ ኣብ መንገዲ ኣቡኡ ኢዱ ሒዝዎ ላሃለወ፣ ሓደ ጋሪ ልጎትት ፈረስ ብዙሓት ሰካራማት ተፅዒኖምዎም ምንቅስቓስ ኣብይዎ ላሃለወ፣ እቲ በዓል ጋሪ በቶም ሰካራማት ዓውዓውታ ተዓጂቡ ልቲ ፈረስ፣ ግፍዒ ተይፈረሐ፣ ብለይንሕሰያ ይገርፎ፡፡	ህፃን ኾይኑ ኣው መንገዲ ኣብኡ እዱ ሕዝዎ ላሃለወ ፣ሓደ ጋሪ ድጎቲት ፈረስ ቡዙሓት ሰከራማት ትፃዕነምዎ ምንቅስቃስ ኣብይዎ ልሃለየ ፣እቲ ብዓል ጋሪ ድቶም ሰካራማት ዓውጡዓውታ ተዓጅቡ ድቲ ፈረስ፣ግፍዒ ደይፈረሐ።
ራስኮልኒኮቭ ብናይ ህፃን ኣንደበት ነቶም ሰካራማት ነቲ ፈረስ ከገድፍዎ እንተለመኖም ዝሰምዖ ኣይነበረን።	ራስኮልኒኮቭ ብናይ ህፃን ኣንደበት ነቶም ሰካራማት ልቲ ፈረስ ከጋድፍዎ እንተለመኖም ልሰምዖ የነበረን።	ራስኮልኒኮቭ ብናህፃን ኣንደበት ድቶም ሰካራማት ድቲ ፈረስ ክሓድጉዎ ዋላ ተለመኖም ድሰመዖ ኣይነወረይ ።
እቲ በዓል ፈረስ ነቲ ፈረስ የዒንቱ፣ ኣፉን ኣፍንጭኡን ከየትረፈ ብበትሪ ይቕጥቕጦ፡ እቲ ስቓይ ዝበዝሖ ፈረስ ኣሽንኳይ ከንቀሳቐስ ጠጠው ኳ ምባል ኣቢዩዎ ይወድቕ፡፡	ዙ በዓል ፈረስ ልቲ ፈረስ ኣዒንቱ፣ ኣፋይ ኣፍንጭኡይ ተይቐረየ ብበትሪ ይቕጥቕጦ፡ ዙ ስቓይ ልበዝሖ ፈረስ ሽንኳን ክንቀሳቐስ ደው ምባል ለ ኣቢይዎ ይወድቕ፡፡	እቲ ብዓል ፈረስ ድቲ ፈረስ ኣዕንቱ ፣ኣፉይ እፍንጫኡይ ደያትረፈ ብበትሪ ይቕጥቕጦ፣እቲ ስቓይ ድወዝሖ ፈረስ ሽካይ ዶ ክንቀሳቀስ ደው ዃ ምዋል ኣውይዎ ይወድቕ።
እቲ ፈረስ ኣብ መወዳአታ እንትወድቕ፣ ራስኮልኒኮቭ ካብ ኢድ ኣቡኡ ሞሊቑ፣ እናጎየየ ክይዱ፣ ነቲ ፈረስ ክሳዱ ሓኒቑ እናነብዐ ነቲ ብደም ዝጠልቀየ ገፅ እቲ ፈረስ ይስዕሞ።	ዙ ፈረስ ኣብ መላአማታ (መወዳአታ) ትትወድቕ፣ ራስኮልኒኮቭ ካብ ኢድ ኣቡኡ ሞሊቑ፣ ላጎየየ ኸይዱ፣ ልቲ ፈረስ ኽሳዱ ሓቚፉ ላነብዐ ልቱ ደም ልጠልቀየ ገፅ ዙ ፈረስ ይስዕሞ፡፡	እቲ ፈረስ ኣው መጨረሽታ ብድወደቐ፣ርስኮልኒኮቭካ ኢድ ኣቡኡ ሞሊቑ፣ላጎየየ ኸይዱ ፣ድቲ ፈረስ ኽሳዱ ሓኒቑ ናበኸየ ድቲ ብደም ድጠልቐየ ገፂ እቲ ፈረስ ይስዕሞ ።
ካብ ድቃሱ እንትበራበር እቶም ወቓዕቲ ሰካራማት፣ እቱ ተወቃዓይ ፈረስ፣ እቲ ሓዛናይ ራስኮልኒኮቭቨ ኩሉም ብሙልኦም ባዕሉ ራስኮልኒኮቭ ከም ዝኾነ ኮይኑ ይስመዖ።	ካብ ህራሱ ትትበራበር ዞም ወቓዕቲ ሰካራማት፣ ሉቱ ተወቃዒ ፈረስ፣ ዙ ሓዛኒ ራስኮልኒኮቭ ኹሉም ብሙልኦም ባዕሉ ራስኮልኒኮቭ ሃም ልኾነ ኾይኑ ይስመዖ።	ካህራሱ ብድትበራበረ ቶም ወቓዕቲ ሰካራማት፣ እቲ ትወቃዓይ ፈረስ፣ እቲ ሓዛናይ ራስኮልኒኮቭቨ ኹሎም ብሙልኦም ባዕሉ ራስኮልኒኮቭ ሃም ድኾነ ኾይኑ ይስመዖ። 
ዋላ ነዚ ሕልሚ እዚ ይርኣይ አምበር ከምቲ ጦረኛ ናፖሊዮን ንሕሰያ ዘይስመዖ፣ ልዕሊ ሰብ ዝኾነ፣ ናይ ባዕሉ ሞራል ዝቐርፅ ሰብ ክኸውን እየ ኢሉ ነቲ ገበን ይፍፅም እሞ ናይ ሞራል ስቅያት ኣብ ርእሱ እንተውርድ ንሪኦ።	ዋላ ልቲ ሕልሚ ዙይ ይርአ እምበይ ሃምቲ ጦረኛ ናፖሊዮን ንሕሰያ ለይስመዖ፣ ልዕሊ ሰብ ልኾነ፣ ናይ ባዕሉ ሞራል ልቐርፅ ሰብ ክኾን እየ ኢሉ ልቱ ገበን ይፍፅም እሞ ናይ ሞራል ስቅያት ኣብ ርእሱ ትተውርድ ንሪኦ።	ውላድዚ ሕልሚ እዚ ይርአይ ደኣም ሃምቲ ጦረኛ ናፖልዮን ናስሕ ደይስመዖ ፣ልዕሊ ሰው ድኾነ፣ ናባዕሉ ሞራል ድቖረፅ ሰው ክኾን የአ ውሉ ድቲ ገወን ይፅም እማ ናሞራል ስቓይ እው ርእሱ ላወረደ ንርእዮ።
